segment,lon,lat,depth,slip,strike,dip,rake,rupturetime,length,width
1,174.2262,-41.656,15000000.0,0.58508,234.0,74.9,170.77, ,1000.0,1035.762
1,174.2244,-41.654,16000000.0,0.48011,234.0,74.9,172.23, ,1000.0,1035.762
1,174.2226,-41.652,17000000.0,0.38185,234.0,74.9,173.65, ,1000.0,1035.762
1,174.2208,-41.65,18000000.0,0.29318,234.0,74.9,175.02, ,1000.0,1035.762
1,174.219,-41.648,19000000.0,0.21611,234.0,74.9,176.32, ,1000.0,1035.762
1,174.2171,-41.6459,20000000.0,0.15182,234.0,74.9,177.54, ,1000.0,1035.762
1,174.2153,-41.6439,21000000.0,0.10062,234.0,74.9,178.62, ,1000.0,1035.762
1,174.2135,-41.6419,22000000.0,0.06189,234.0,74.9,179.49, ,1000.0,1035.762
1,174.2117,-41.6399,23000000.0,0.03409,234.0,74.9,179.98, ,1000.0,1035.762
1,174.2099,-41.6379,24000000.0,0.01466,234.0,74.9,180.0, ,1000.0,1035.762
1,174.2435,-41.6912,0.0,0.21686,234.0,74.9,132.68, ,1000.0,1035.762
1,174.2417,-41.6892,1000000.0,0.43228,234.0,74.9,148.06, ,1000.0,1035.762
1,174.2398,-41.6872,2000000.0,0.64455,234.0,74.9,152.92, ,1000.0,1035.762
1,174.238,-41.6852,3000000.0,0.83994,234.0,74.9,155.15, ,1000.0,1035.762
1,174.2362,-41.6832,4000000.0,1.00873,234.0,74.9,156.51, ,1000.0,1035.762
1,174.2344,-41.6812,5000000.0,1.14286,234.0,74.9,157.63, ,1000.0,1035.762
1,174.2326,-41.6792,6000000.0,1.23699,234.0,74.9,158.75, ,1000.0,1035.762
1,174.2308,-41.6771,7000000.0,1.28907,234.0,74.9,159.96, ,1000.0,1035.762
1,174.229,-41.6751,8000000.0,1.30019,234.0,74.9,161.28, ,1000.0,1035.762
1,174.2271,-41.6731,9000000.0,1.27395,234.0,74.9,162.68, ,1000.0,1035.762
1,174.2253,-41.6711,10000000.0,1.21568,234.0,74.9,164.16, ,1000.0,1035.762
1,174.2235,-41.6691,11000000.0,1.13167,234.0,74.9,165.67, ,1000.0,1035.762
1,174.2217,-41.6671,12000000.0,1.02858,234.0,74.9,167.19, ,1000.0,1035.762
1,174.2199,-41.6651,13000000.0,0.91298,234.0,74.9,168.72, ,1000.0,1035.762
1,174.2181,-41.6631,14000000.0,0.79103,234.0,74.9,170.22, ,1000.0,1035.762
1,174.2163,-41.661,15000000.0,0.66825,234.0,74.9,171.69, ,1000.0,1035.762
1,174.2145,-41.659,16000000.0,0.5494,234.0,74.9,173.12, ,1000.0,1035.762
1,174.2126,-41.657,17000000.0,0.43842,234.0,74.9,174.5, ,1000.0,1035.762
1,174.2108,-41.655,18000000.0,0.33833,234.0,74.9,175.8, ,1000.0,1035.762
1,174.209,-41.653,19000000.0,0.25127,234.0,74.9,177.01, ,1000.0,1035.762
1,174.2072,-41.651,20000000.0,0.17841,234.0,74.9,178.11, ,1000.0,1035.762
1,174.2054,-41.649,21000000.0,0.11997,234.0,74.9,179.03, ,1000.0,1035.762
1,174.2036,-41.647,22000000.0,0.07522,234.0,74.9,179.69, ,1000.0,1035.762
1,174.2018,-41.6449,23000000.0,0.04238,234.0,74.9,180.0, ,1000.0,1035.762
1,174.1999,-41.6429,24000000.0,0.01862,234.0,74.9,180.0, ,1000.0,1035.762
